STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,RIOTS,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,9,41,199,78,104,30,1131,16,149,181,1518,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,8,16,366,168,65,69,1543,7,118,270,754,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,4,14,723,156,209,38,2088,14,112,404,1262,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,1,4,173,164,37,23,795,17,126,233,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,4,25,1021,70,220,41,1244,12,109,431,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,5,2,162,1,0,0,1,0,1,4,104,287
ANDHRA PRADESH,GUNTUR,2001,182,54,82,16,59,1122,244,300,43,1792,7,139,369,2426,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,13,67,2792,65,1293,0,3137,24,118,409,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,27,50,392,220,243,33,1392,62,414,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,1,13,368,153,130,73,1026,17,180,209,1450,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,36,3,15,478,70,104,62,1985,10,208,268,862,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,47,6,22,297,84,126,5,1547,13,141,292,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,8,27,316,157,84,0,867,14,176,280,2158,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,27,26,286,100,87,37,1367,26,100,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,27,6,28,318,220,122,72,1132,31,188,432,1781,5002
ANDHRA PRADESH,NELLORE,2001,89,46,90,12,16,608,97,177,65,1119,10,207,266,1585,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,7,22,234,51,122,30,1383,19,55,220,787,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,15,14,278,138,88,43,1266,5,140,263,808,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,24,78,1296,65,527,67,2829,37,113,593,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,10,296,1,4,0,17,1,0,6,68,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,1,4,231,70,53,34,679,6,38,167,926,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,3,27,2057,19,614,17,1578,2,84,234,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,0,1,265,1,3,0,9,0,1,2,25,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,4,3,165,138,39,31,1476,3,67,216,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,1,5,630,9,192,15,325,0,33,196,928,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,0,2,144,36,41,12,529,0,40,175,880,2178
ANDHRA PRADESH,WARANGAL,2001,158,53,81,2,23,418,330,137,0,1718,52,241,269,2314,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,7,15,1116,96,270,32,972,15,246,354,1609,5696
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,3,4,24,0,3,1,30,0,3,0,54,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,2,5,19,0,0,0,27,0,4,0,45,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,1,6,26,0,1,1,36,0,5,0,28,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,1,0,26,0,4,0,27,0,0,0,30,103
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,2,8,31,3,2,2,40,0,8,0,38,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,4,29,109,9,8,1,84,0,6,0,129,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,4,8,52,1,4,1,58,0,7,0,54,243
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,0,0,9,1,0,2,15,0,3,0,11,56
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,1,10,72,2,5,3,71,0,25,0,89,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,1,7,25,5,2,2,11,0,4,0,44,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,3,5,20,2,0,0,34,0,8,0,40,140
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,0,0,13,0,1,0,3,0,5,0,19,48
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,0,2,17,1,0,0,30,0,0,0,37,127
ASSAM,BARPETA,2001,64,28,105,43,45,187,196,29,38,266,10,29,87,430,1778
ASSAM,BONGAIGAON,2001,45,20,36,13,25,92,87,13,12,67,1,22,50,188,810
ASSAM,C.I.D.,2001,0,0,0,0,0,1,0,5,0,0,0,0,0,2,8
ASSAM,CACHAR,2001,52,45,104,29,42,359,533,33,64,286,7,80,235,1124,3462
ASSAM,DARRANG,2001,61,48,64,21,29,185,100,25,16,319,9,56,66,273,1454
ASSAM,DHEMAJI,2001,15,42,31,2,12,79,13,15,16,203,0,26,20,126,652
ASSAM,DHUBRI,2001,65,43,69,53,19,83,402,24,23,193,5,49,47,204,1505
ASSAM,DIBRUGARH,2001,110,35,57,14,29,325,21,12,20,351,3,41,108,264,1565
ASSAM,G.R.P.,2001,13,1,3,8,16,135,9,0,0,35,0,0,0,110,343
ASSAM,GOALPARA,2001,28,35,43,37,13,116,129,16,4,51,1,54,99,100,873
ASSAM,GOLAGHAT,2001,53,30,44,13,27,211,26,20,21,135,0,23,73,363,1166
ASSAM,GUWAHATI CITY,2001,71,37,129,38,73,736,151,72,18,913,5,67,311,1308,4373
ASSAM,HAILAKANDI,2001,18,24,36,6,8,92,160,14,19,60,2,27,26,197,820
ASSAM,JORHAT,2001,40,42,37,6,27,230,30,23,13,134,2,44,58,363,1190
ASSAM,KAMRUP,2001,37,21,95,30,41,275,55,50,6,404,2,42,52,612,2011
ASSAM,KARBI ANGLONG,2001,65,5,38,12,33,79,90,11,24,66,4,5,35,200,721
ASSAM,KARIMGANJ,2001,32,33,42,8,5,114,271,8,17,68,1,9,20,97,843
ASSAM,KOKRAJHAR,2001,87,14,41,14,10,89,50,10,6,156,0,37,50,117,776
ASSAM,LAKHIMPUR,2001,26,64,72,15,47,195,106,71,0,386,0,22,89,422,1779
ASSAM,MORIGAON,2001,20,23,39,15,10,66,79,7,5,31,0,6,45,259,731
ASSAM,N.C.HILLS,2001,17,2,8,4,5,30,4,3,3,22,0,2,16,30,187
ASSAM,NAGAON,2001,95,51,119,59,33,491,267,35,41,513,1,113,194,701,3202
ASSAM,NALBARI,2001,79,30,53,15,39,119,4,18,21,172,3,16,27,433,1194
ASSAM,R.P.O.,2001,11,3,2,13,2,29,13,1,0,0,0,0,0,26,101
ASSAM,SIBSAGAR,2001,59,47,64,3,41,343,50,29,21,286,0,28,82,546,1643
ASSAM,SONITPUR,2001,86,53,87,27,21,356,85,21,32,451,1,43,145,575,2309
ASSAM,TINSUKIA,2001,107,41,62,34,35,350,22,10,1,237,2,9,75,245,1381
BIHAR,ARARIA,2001,47,93,79,39,43,161,375,47,3,10,11,3,26,944,2069
BIHAR,ARWAL,2001,37,0,13,5,8,24,76,7,14,209,7,11,21,51,591
BIHAR,AURANGABAD,2001,74,16,24,19,28,103,155,28,3,25,33,13,82,867,1690
BIHAR,BAGAHA,2001,34,25,56,1,9,115,67,15,6,343,0,4,2,146,912
BIHAR,BANKA,2001,93,34,27,49,39,73,196,3,4,8,9,0,0,758,1386
BIHAR,BEGUSARAI,2001,124,13,53,18,67,265,147,26,6,65,21,32,71,1515,2628
BIHAR,BETTIAH,2001,66,20,84,8,32,265,340,33,21,842,17,23,41,782,2796
BIHAR,BHABHUA,2001,41,10,43,34,26,184,186,23,21,92,8,7,52,486,1368
BIHAR,BHAGALPUR,2001,128,35,66,22,55,370,171,47,13,9,20,15,53,1343,2634
BIHAR,BHOJPUR,2001,135,22,46,32,49,214,240,31,0,515,23,0,102,1217,2806
BIHAR,BUXAR,2001,56,8,34,49,34,179,189,57,18,39,15,0,82,800,1674
BIHAR,DARBHANGA,2001,53,19,39,29,37,103,142,31,17,0,37,40,66,1715,2572
BIHAR,GAYA,2001,200,25,66,100,114,416,417,79,23,292,26,27,127,862,3182
BIHAR,GOPALGANJ,2001,107,13,59,32,73,153,227,75,6,42,22,0,96,807,2098
BIHAR,JAMALPUR RLY.,2001,7,1,4,9,13,117,0,3,0,0,0,1,4,62,225
BIHAR,JAMUI,2001,67,10,14,22,14,81,134,7,1,225,16,8,14,289,1046
BIHAR,JEHANABAD,2001,73,6,35,15,22,121,170,51,0,0,25,0,0,694,1353
BIHAR,KATIHAR,2001,60,51,49,49,30,146,193,23,1,64,6,6,71,904,1811
BIHAR,KATIHAR RLY.,2001,7,0,3,18,19,221,9,9,0,0,0,2,0,116,417
BIHAR,KHAGARIA,2001,72,5,34,6,29,86,167,6,1,5,11,6,59,353,895
BIHAR,KISHANGANJ,2001,25,22,23,19,10,57,116,5,8,4,4,2,16,481,897
BIHAR,LAKHISARAI,2001,61,10,30,9,13,79,93,6,4,9,6,12,33,305,754
BIHAR,MADHEPURA,2001,56,11,49,17,31,69,157,17,8,4,6,3,18,550,1062
BIHAR,MADHUBANI,2001,35,13,36,24,17,98,195,9,4,615,12,41,110,1503,2897
BIHAR,MOTIHARI,2001,114,44,100,30,79,271,365,103,23,112,37,3,36,2243,3881
BIHAR,MUNGER,2001,51,11,45,6,29,157,218,29,12,173,8,0,28,787,1758
BIHAR,MUZAFFARPUR,2001,153,73,113,32,135,538,241,94,42,103,69,81,141,1867,4212
BIHAR,MUZAFFARPUR RLY.,2001,13,2,5,4,15,313,13,20,1,53,0,4,0,81,538
BIHAR,NALANDA,2001,208,40,126,51,97,412,318,34,13,611,47,14,60,1006,3479
BIHAR,NAUGACHIA,2001,36,7,29,15,18,32,56,11,1,52,4,0,31,193,570
BIHAR,NAWADAH,2001,77,15,42,16,31,66,183,30,12,282,17,7,61,555,1515
BIHAR,PATNA,2001,434,27,197,91,414,1568,506,331,54,354,90,47,178,2825,8583
BIHAR,PATNA RLY.,2001,24,1,3,18,21,811,11,11,0,0,0,9,3,174,1127
BIHAR,PURNEA,2001,104,39,64,75,97,227,269,28,7,35,8,5,77,785,2054
BIHAR,ROHTAS,2001,127,25,72,78,68,317,391,52,27,472,36,21,376,535,2961
BIHAR,SAHARSA,2001,36,12,27,3,15,56,156,25,6,229,7,9,29,244,1066
BIHAR,SAMASTIPUR,2001,107,19,75,33,61,247,312,33,45,255,11,17,21,1261,2853
BIHAR,SARAN,2001,137,20,65,69,93,246,309,14,43,878,67,22,106,1087,3442
BIHAR,SHEIKHPURA,2001,28,3,16,16,12,89,136,10,3,6,9,0,15,408,804
BIHAR,SHEOHAR,2001,18,11,13,7,8,16,38,1,0,0,3,0,0,305,428
BIHAR,SITAMARHI,2001,51,23,34,24,15,132,218,41,7,29,13,1,5,1111,1797
BIHAR,SIWAN,2001,116,4,51,45,100,112,239,26,16,47,32,6,44,753,1853
BIHAR,SUPAUL,2001,41,30,26,31,40,129,170,8,0,0,7,8,0,1040,1672
BIHAR,VAISHALI,2001,110,20,90,22,43,262,295,120,8,436,59,52,49,1857,4076
CHHATTISGARH,BALRAMPUR,2001,13,17,1,17,11,21,15,6,2,30,1,18,7,40,235
CHHATTISGARH,BILASPUR,2001,99,69,20,4,37,690,166,23,17,617,7,180,93,1617,4353
CHHATTISGARH,BIZAPUR,2001,9,4,0,2,6,3,1,0,6,11,0,1,2,19,86
CHHATTISGARH,DANTEWARA,2001,83,19,11,7,5,64,14,5,5,116,1,18,31,259,739
CHHATTISGARH,DHAMTARI,2001,14,22,4,2,0,110,22,12,1,127,1,41,45,450,996
CHHATTISGARH,DURG,2001,76,144,57,9,50,893,48,91,35,595,12,287,0,3302,6544
CHHATTISGARH,GRP RAIPUR,2001,2,0,0,2,9,197,4,2,0,8,0,4,0,77,315
CHHATTISGARH,JAGDALPUR,2001,80,59,6,2,23,172,35,11,12,216,3,49,0,932,1812
CHHATTISGARH,JANJGIR,2001,48,29,9,2,25,237,105,23,23,556,9,110,56,471,2059
CHHATTISGARH,JASHPUR,2001,37,36,2,5,17,54,13,7,8,98,2,41,24,240,719
CHHATTISGARH,KANKER,2001,31,42,4,3,5,53,23,9,3,76,1,36,26,347,760
CHHATTISGARH,KAWARDHA,2001,19,35,1,1,2,43,10,4,4,167,1,45,12,236,685
CHHATTISGARH,KORBA,2001,33,46,13,0,8,305,67,47,7,515,1,90,67,634,2112
CHHATTISGARH,KORIYA,2001,35,34,7,3,6,153,21,9,7,163,3,102,42,764,1644
CHHATTISGARH,MAHASAMUND,2001,18,43,7,2,6,146,30,27,10,174,6,69,63,416,1185
CHHATTISGARH,RAIGARH,2001,50,53,6,2,13,173,34,17,4,277,2,104,39,571,1650
CHHATTISGARH,RAIPUR,2001,92,104,38,10,58,953,110,64,28,1259,16,253,182,2518,6786
CHHATTISGARH,RAJNANDGAON,2001,36,58,4,3,15,231,50,14,11,142,3,92,0,1601,2650
CHHATTISGARH,SARGUJA,2001,105,145,17,11,42,314,103,31,32,330,1,223,0,1296,3130
GOA,NORTH GOA,2001,22,4,4,5,10,291,33,29,10,93,2,12,110,404,1271
GOA,SOUTH GOA,2001,14,8,5,2,15,285,31,33,6,81,0,5,81,293,1070
GUJARAT,AHMEDABAD COMMR.,2001,90,39,143,18,192,3588,191,205,2,1311,7,54,0,6129,13496
GUJARAT,AHMEDABAD RURAL,2001,26,5,27,15,25,225,50,9,24,482,0,26,190,797,2146
GUJARAT,AHWA-DANG,2001,6,1,2,0,1,8,10,4,2,32,0,2,14,54,147
GUJARAT,AMRELI,2001,41,2,39,4,25,199,52,21,17,363,2,21,73,1080,2191
GUJARAT,ANAND,2001,28,3,30,10,14,427,63,76,22,596,0,27,150,1896,3879
GUJARAT,BHARUCH,2001,37,4,39,13,17,388,44,71,22,385,0,19,180,1542,3052
GUJARAT,BHAVNAGAR,2001,64,9,60,5,48,561,113,103,25,100,2,36,0,3438,5088
GUJARAT,DAHOD,2001,36,5,15,22,44,120,49,0,31,394,0,17,0,863,1717
GUJARAT,GANDHINAGAR,2001,25,4,15,14,22,585,64,38,5,430,3,37,3,1879,3478
GUJARAT,HIMATNAGAR,2001,55,17,31,23,29,191,65,52,25,357,4,51,203,2470,4013
GUJARAT,JAMNAGAR,2001,48,20,27,2,20,530,34,25,13,418,2,18,0,2254,3857
GUJARAT,JUNAGADH,2001,56,14,46,4,52,547,88,122,14,541,11,44,162,2706,5186
GUJARAT,KHEDA NORTH,2001,42,11,30,9,19,358,63,63,21,472,0,43,184,2195,3851
GUJARAT,KUTCH,2001,34,2,24,8,11,307,55,40,11,467,2,25,229,1763,3355
GUJARAT,MEHSANA,2001,28,4,58,23,45,557,98,90,15,1206,5,47,152,2394,5175
GUJARAT,NARMADA,2001,16,8,9,1,0,46,9,15,11,96,0,7,42,246,536
GUJARAT,NAVSARI,2001,26,2,6,7,13,120,22,19,6,144,0,6,0,867,1404
GUJARAT,PALANPUR,2001,52,18,41,13,47,420,94,55,21,1370,2,50,133,1102,3887
GUJARAT,PANCHMAHAL,2001,56,5,46,21,19,313,50,34,57,530,0,1,0,1122,2535
GUJARAT,PATAN,2001,24,3,21,8,19,220,78,29,12,422,0,23,81,1283,2447
GUJARAT,PORBANDAR,2001,15,6,5,0,3,116,8,15,5,136,0,10,37,704,1215
GUJARAT,RAJKOT COMMR.,2001,29,5,46,5,31,1245,110,71,9,628,3,19,82,1883,4774
GUJARAT,RAJKOT RURAL,2001,30,20,40,9,23,378,58,44,21,616,2,45,197,2298,4402
GUJARAT,SURAT COMMR.,2001,98,11,57,26,59,1422,127,228,10,353,20,10,167,823,3995
GUJARAT,SURAT RURAL,2001,62,26,23,12,28,219,30,33,9,315,0,11,316,501,1766
GUJARAT,SURENDRANAGAR,2001,38,11,29,7,13,204,73,32,9,522,2,45,0,1883,3113
GUJARAT,VADODARA COMMR.,2001,34,3,35,4,39,997,151,182,7,365,0,11,153,2601,5047
GUJARAT,VADODARA RURAL,2001,71,18,38,15,21,210,34,56,10,354,0,34,170,1877,3137
GUJARAT,VALSAD,2001,44,9,16,22,25,432,40,37,12,301,0,10,0,1802,3109
GUJARAT,W.RLY,2001,15,1,0,7,87,901,7,10,1,54,0,7,6,267,1421
HARYANA,AMBALA,2001,26,11,38,2,18,365,5,76,11,280,11,27,0,985,2346
HARYANA,BHIWANI,2001,40,10,9,0,19,190,109,54,16,267,33,17,2,849,1855
HARYANA,FARIDABAD,2001,68,37,78,7,44,668,133,61,14,304,19,47,18,3531,5808
HARYANA,FATEHABAD,2001,18,17,20,3,11,141,11,52,6,210,17,17,1,468,1214
HARYANA,GRP,2001,24,0,2,0,5,169,9,3,0,11,5,1,7,346,615
HARYANA,GURGAON,2001,69,32,50,4,51,794,78,29,20,244,17,21,5,1530,3502
HARYANA,HISSAR,2001,45,10,26,2,27,438,28,159,8,392,24,33,4,1177,2830
HARYANA,JHAJJAR,2001,48,21,14,2,25,183,68,50,0,193,20,42,84,466,1501
HARYANA,JIND,2001,37,21,12,2,28,148,71,51,2,160,11,22,4,512,1452
HARYANA,KAITHAL,2001,33,16,9,3,9,144,0,16,28,216,9,19,1,396,1195
HARYANA,KARNAL,2001,42,44,31,8,16,468,47,59,11,726,18,28,187,335,2383
HARYANA,KURUKSHETRA,2001,20,31,14,5,13,343,0,130,4,172,10,28,0,738,1753
HARYANA,MAHENDRAGARH,2001,26,11,13,1,1,116,47,9,21,157,8,19,2,611,1169
HARYANA,PANCHKULA,2001,12,6,18,1,5,226,1,19,2,21,4,23,73,440,1054
HARYANA,PANIPAT,2001,43,38,19,20,47,415,35,53,7,144,11,16,191,513,1895
HARYANA,REWARI,2001,21,11,13,0,7,155,39,19,23,130,12,17,0,638,1214
HARYANA,ROHTAK,2001,57,28,13,5,29,365,37,58,10,187,17,26,144,534,1856
HARYANA,SIRSA,2001,37,17,18,2,5,240,24,43,6,349,12,23,1,645,1768
HARYANA,SONIPAT,2001,73,15,26,5,28,347,6,43,8,346,18,22,132,607,1944
HARYANA,YAMUNANAGAR,2001,42,22,26,5,9,202,2,32,6,235,9,30,0,585,1405
HIMACHAL PRADESH,BILASPUR,2001,8,5,10,2,3,49,76,12,20,74,1,35,35,625,1074
HIMACHAL PRADESH,CHAMBA,2001,13,12,17,0,1,29,6,8,8,63,0,23,40,213,555
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,3,0,1,17,26,11,7,178,1,17,44,362,747
HIMACHAL PRADESH,KANGRA,2001,24,18,30,1,4,108,125,29,26,280,1,43,2,1119,2035
HIMACHAL PRADESH,KINNAUR,2001,5,6,3,0,0,2,4,0,1,4,0,4,26,64,147
HIMACHAL PRADESH,KULLU,2001,13,13,7,0,1,17,27,7,6,36,0,12,36,398,630
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1,0,1,1,2,1,1,1,0,0,9,24,50
HIMACHAL PRADESH,MANDI,2001,18,16,11,0,3,64,83,22,34,218,0,59,75,963,1747
HIMACHAL PRADESH,SHIMLA,2001,14,18,13,0,7,188,122,31,13,89,2,50,60,1127,1964
HIMACHAL PRADESH,SIRMAUR,2001,3,10,13,0,4,27,56,12,4,60,3,33,47,361,703
HIMACHAL PRADESH,SOLAN,2001,11,12,13,0,1,59,62,7,9,279,2,23,45,476,1130
HIMACHAL PRADESH,UNA,2001,6,9,5,1,2,38,38,6,5,121,0,11,64,319,713
JAMMU & KASHMIR,ANANTNAG,2001,74,6,59,5,16,83,67,28,51,20,0,53,23,435,1104
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,14,0,4,19,10,1,9,2,0,8,0,196,316
JAMMU & KASHMIR,BARAMULLA,2001,144,28,75,2,16,156,146,11,40,18,0,93,22,492,1533
JAMMU & KASHMIR,BORDER,2001,6,12,10,0,0,19,15,16,2,14,0,15,39,480,708
JAMMU & KASHMIR,BUDGAM,2001,78,7,40,0,2,94,88,6,13,0,0,35,22,241,812
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,27,0,0,0,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,61,0,0,0,0,0,0,69
JAMMU & KASHMIR,DODA,2001,104,7,15,2,6,18,17,4,40,13,0,6,18,202,627
JAMMU & KASHMIR,GANDERBAL,2001,24,5,33,1,0,44,50,3,13,6,0,30,11,132,395
JAMMU & KASHMIR,JAMMU,2001,27,13,43,0,4,479,103,62,13,58,5,40,112,2187,3607
JAMMU & KASHMIR,KARGIL,2001,0,0,2,0,0,6,5,0,3,1,0,1,0,62,82
JAMMU & KASHMIR,KATHUA,2001,16,13,11,1,2,37,43,8,15,28,3,14,65,477,817
JAMMU & KASHMIR,KULGAM,2001,39,6,35,1,17,43,77,6,34,9,0,7,19,272,635
JAMMU & KASHMIR,KUPWARA,2001,141,6,47,0,1,39,74,10,22,18,0,62,12,280,1027
JAMMU & KASHMIR,LEH,2001,3,0,1,0,0,6,5,3,0,0,0,1,0,107,137
JAMMU & KASHMIR,POONCH,2001,100,13,16,1,0,67,30,6,40,27,0,4,8,241,766
JAMMU & KASHMIR,PULWAMA,2001,46,7,37,1,27,144,127,10,23,9,0,19,0,261,883
JAMMU & KASHMIR,RAILWAYS,2001,1,0,0,0,0,3,0,0,0,0,0,0,0,11,17
JAMMU & KASHMIR,RAJOURI,2001,76,17,20,2,4,21,3,14,18,34,3,7,2,602,965
JAMMU & KASHMIR,RAMBAN,2001,51,3,7,1,1,12,2,3,19,19,0,3,1,346,537
JAMMU & KASHMIR,REASI,2001,36,7,11,1,0,22,6,2,12,3,0,5,0,187,389
JAMMU & KASHMIR,SRINAGAR,2001,63,8,115,6,59,490,158,102,64,18,0,207,0,1211,3042
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,15,0,2,117,46,8,6,21,2,12,3,624,1010
JHARKHAND,BOKARO,2001,70,26,38,38,66,435,119,17,13,74,25,24,76,644,1936
JHARKHAND,CHAIBASA,2001,109,32,17,7,9,99,22,22,5,35,0,6,0,214,669
JHARKHAND,CHATRA,2001,40,6,10,23,15,80,90,13,1,0,7,0,0,417,748
JHARKHAND,DEOGHAR,2001,47,22,7,13,15,129,118,14,11,259,10,13,0,275,1106
JHARKHAND,DHANBAD,2001,97,32,57,56,48,546,205,77,14,318,30,47,15,1096,2916
JHARKHAND,DHANBAD RLY.,2001,11,2,4,12,13,209,4,8,0,0,0,0,0,88,360
JHARKHAND,DUMKA,2001,63,27,24,11,8,66,75,8,16,263,3,20,18,291,1016
JHARKHAND,GARHWA,2001,32,11,5,19,17,54,113,15,12,125,15,0,0,319,788
JHARKHAND,GIRIDIH,2001,63,42,15,56,27,111,173,49,21,38,30,13,65,953,1918
JHARKHAND,GODDA,2001,61,37,30,24,18,70,90,3,0,0,1,0,0,630,1030
JHARKHAND,GUMLA,2001,136,29,16,30,44,56,40,7,0,0,0,2,0,227,658
JHARKHAND,HAZARIBAGH,2001,76,41,42,85,68,348,268,54,5,479,31,15,6,761,2498
JHARKHAND,JAMSHEDPUR,2001,81,50,60,10,27,343,131,115,8,76,6,58,140,1100,2712
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,0,6,4,65,2,3,0,0,0,1,0,59,148
JHARKHAND,JAMTARA,2001,22,18,14,6,9,68,61,10,3,146,5,13,2,21,473
JHARKHAND,KODERMA,2001,21,2,14,13,15,77,80,17,3,18,11,8,45,251,667
JHARKHAND,LATEHAR,2001,54,12,4,44,9,48,27,0,0,0,6,0,0,145,380
JHARKHAND,LOHARDAGGA,2001,33,12,14,8,11,28,29,5,3,11,0,4,0,121,311
JHARKHAND,PAKUR,2001,31,23,7,11,5,37,39,19,7,5,7,0,0,236,483
JHARKHAND,PALAMU,2001,73,15,14,43,32,94,160,5,23,343,18,8,38,416,1461
JHARKHAND,RANCHI,2001,243,73,1,81,140,647,66,55,10,21,4,24,0,22,1602
JHARKHAND,SAHEBGANJ,2001,47,20,17,12,8,80,72,19,10,42,3,23,15,171,628
JHARKHAND,SARAIKELA,2001,44,17,19,15,12,123,29,17,0,0,4,18,0,232,692
JHARKHAND,SIMDEGA,2001,49,17,12,13,27,14,5,2,0,1,1,0,0,88,247
KARNATAKA,BAGALKOT,2001,59,2,17,2,3,105,218,18,12,315,1,39,0,770,1710
KARNATAKA,BANGALORE COMMR.,2001,221,40,152,31,284,6293,298,1708,3,3735,40,223,38,11106,27254
KARNATAKA,BANGALORE RURAL,2001,137,13,37,23,32,533,358,60,39,1097,30,90,0,2120,5209
KARNATAKA,BELGAUM,2001,120,8,27,19,47,386,389,102,25,1002,4,62,21,2429,5053
KARNATAKA,BELLARY,2001,58,16,14,5,20,303,260,19,13,709,5,82,0,1445,3229
KARNATAKA,BIDAR,2001,48,7,19,7,36,202,163,33,21,1015,2,90,0,2449,4371
KARNATAKA,BIJAPUR,2001,51,6,24,5,21,202,396,19,34,695,1,65,0,1163,2941
KARNATAKA,CHAMARAJNAGAR,2001,19,4,5,1,9,133,107,10,25,480,7,43,0,437,1390
KARNATAKA,CHICKMAGALUR,2001,41,8,12,4,10,222,187,25,5,885,4,57,7,1022,2766
KARNATAKA,CHITRADURGA,2001,31,18,4,8,20,145,269,22,8,717,2,48,0,1219,2691
KARNATAKA,DAKSHIN KANNADA,2001,33,3,9,1,8,219,127,55,12,411,1,24,3,1846,3047
KARNATAKA,DAVANAGERE,2001,58,22,23,5,26,332,297,46,1,684,8,84,1,1325,3301
KARNATAKA,DHARWAD COMMR.,2001,16,4,8,5,34,245,168,56,7,191,2,3,4,944,1902
KARNATAKA,DHARWAD RURAL,2001,25,3,3,3,5,38,110,14,0,132,3,8,0,497,899
KARNATAKA,GADAG,2001,22,2,4,4,13,55,109,23,1,165,3,10,0,392,899
KARNATAKA,GULBARGA,2001,95,20,35,10,61,268,423,68,25,1148,6,143,0,1421,4169
KARNATAKA,HASSAN,2001,64,20,17,5,23,268,210,17,0,1483,4,75,0,1544,4039
KARNATAKA,HAVERI,2001,24,3,12,7,10,111,260,20,0,393,5,42,0,1175,2211
KARNATAKA,K.G.F.,2001,20,1,12,4,6,108,73,12,0,256,4,12,0,258,906
KARNATAKA,KODAGU,2001,26,4,4,1,3,87,170,6,3,350,4,22,0,459,1301
KARNATAKA,KOLAR,2001,69,17,21,3,25,284,373,48,0,664,18,42,0,1385,3230
KARNATAKA,KOPPAL,2001,23,6,12,3,8,120,166,21,5,279,5,40,0,587,1406
KARNATAKA,MANDYA,2001,67,15,9,2,28,328,280,30,0,1431,7,50,0,2234,4807
KARNATAKA,MYSORE COMMR.,2001,32,2,11,0,32,326,67,52,0,360,9,8,0,794,1903
KARNATAKA,MYSORE RURAL,2001,53,12,14,0,0,200,212,15,0,1081,6,79,0,942,2900
KARNATAKA,RAICHUR,2001,33,12,11,4,13,150,261,94,15,602,1,63,16,857,2384
KARNATAKA,RAILWAYS,2001,12,1,1,3,11,331,16,2,0,17,1,0,0,174,583
KARNATAKA,SHIMOGA,2001,56,12,14,1,15,292,260,31,20,1148,6,65,0,1864,4178
